SU_ID,FINALWT,SURV_MODE,SURV_LANG,CUR1,CUR3AB,CURY2A,CURY2B,CURY2C,CURY2D,CURY2E,CURY2F,CURY2G,B1AB,GOVTA,GOVTB,GOVTC,GOVTD,GOVTE,VIRUS2A,VIRUS2B,VIRUS6A,VIRUS6B,VIRUS6C,VIRUS6D,VIRUS7A,VIRUS7B,VIRUS7C,VIRUS7D,REOPEN1A,REOPEN1B,REOPEN1C,REOPEN1D,REOPEN1E,REOPEN1F,REOPEN1G,REOPEN1H,REOPEN1I,REOPEN1J,REOPEN2A,REOPEN2B,REOPEN2C,REOPEN2D,REOPEN2E,REOPEN2F,REOPEN2G,REOPEN2H,REOPEN2I,REOPEN2J,REOPEN3A,REOPEN3B,REOPEN4,REOPEN5,ABO1,ABO2,ABO3A,ABO3B,ABO3C,ABO3D,ABO6A,ABO6B,ABO6C,MIDEAST1A,MIDEAST1B,MIDEAST2,MIDEAST3,RELIG,BORN,VAX3,APVAX7,WAGE_1,WAGE2,WAGE3,WAGE4,POLITICS,DEMO,REPUB,INDEP,IDEO,URBAN,MARITAL,AGEGRP,EDUCATION,RACETH,GENDER,HHINCOME,EMPSTATUS,STATE,CENSUS_REGION
636,0.28776421,(2) Web interview,(1) English,(1) Right direction,(2) Somewhat approve,(2) Disapprove,(1) Approve,(2) Disapprove,(1) Approve,(2) Disapprove,Approve,(2) Disapprove,(3) Lean toward good,(2) About the right amount,(3) Too little,(2) About the right amount,(3) Too little,(3) Too little,(2) Very worried,(4) Not too worried,(3) Neither approve nor disapprove,(3) Neither approve nor disapprove,(3) Neither approve nor disapprove,(3) Neither approve nor disapprove,(2) Often,(3) Sometimes,(3) Sometimes,(1) Always,(6) Less often,(3) At least once a week,(6) Less often,(6) Less often,(6) Less often,(6) Less often,(5) Several times a year,(5) Several times a year,(5) Several times a year,(2) At least several times a week,"(3) No, probably will not","(2) Yes, probably will","(4) No, definitely will not","(4) No, definitely will not","(4) No, definitely will not","(3) No, probably will not","(3) No, probably will not","(3) No, probably will not","(3) No, probably will not","(2) Yes, probably will",(4) Not very likely,(3) Somewhat likely,(3) Somewhat concerned,(2) Not quickly enough,(2) Legal in most cases,(2) Each state government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(1) Yes, possible",(2) Legal in most cases,(2) Legal in most cases,(3) Illegal in most cases,(2) Not supportive enough,(2) Not supportive enough,(2) Minor role,(1) Yes,"(1) Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",(2) No,(2) No,(4) Definitely not get a vaccine,(3) $15 to under $20 an hour,(1) Yes,(1) The wages are too low,"(2) I am not, but someone else in my household is",(1) Democrat,(2) Moderate Democrat,,,(3) Moderate,(2) Suburban area,(6) Living with partner,(2) 30 to 39,(3) Some college,"(1) White, non-Hispanic",(1) Male,"(4) $30,000 to under $40,000",(1) Employed,California,(4) West
642,4.21880066,(2) Web interview,(1) English,(2) Wrong direction,(6) Somewhat disapprove,(2) Disapprove,(2) Disapprove,(1) Approve,(2) Disapprove,(2) Disapprove,Disapprove,(2) Disapprove,(6) Somewhat poor,(2) About the right amount,(2) About the right amount,(3) Too little,(3) Too little,(3) Too little,(5) Not at all worried,(5) Not at all worried,(3) Neither approve nor disapprove,(2) Somewhat approve,(4) Somewhat disapprove,(4) Somewhat disapprove,(5) Never,(2) Often,(4) Rarely,(5) Never,(6) Less often,(3) At least once a week,(4) At least once a month,(6) Less often,(6) Less often,(6) Less often,(4) At least once a month,(6) Less often,(4) At least once a month,(3) At least once a week,"(4) No, definitely will not","(1) Yes, definitely will","(2) Yes, probably will","(4) No, definitely will not","(3) No, probably will not","(4) No, definitely will not","(1) Yes, definitely will","(4) No, definitely will not","(3) No, probably will not","(1) Yes, definitely will",(5) Not at all likely,(5) Not at all likely,(4) Not very concerned,(3) About right,(2) Legal in most cases,(1) Federal government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(2) No, not possible",(2) Legal in most cases,(3) Illegal in most cases,(3) Illegal in most cases,(3) About right,(3) About right,(3) No role,(2) No,(14) Something else - please specify:,(2) No,(2) No,(3) Probably not get a vaccine,(4) $20 an hour or more,(2) No,,(3) No,(4) None of these,,,(3) Don't Lean,(2) Somewhat liberal,(3) Rural area,(1) Married,(3) 40 to 59,(2) High school graduate,"(1) White, non-Hispanic",(2) Female,"(7) $75,000 to under $100,000",(1) Employed,Illinois,(2) Midwest
643,0.47834162,(2) Web interview,(1) English,(2) Wrong direction,(6) Somewhat disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(1) Approve,(2) Disapprove,Disapprove,(1) Approve,(6) Somewhat poor,(2) About the right amount,(2) About the right amount,(2) About the right amount,(2) About the right amount,(2) About the right amount,(4) Not too worried,(4) Not too worried,(2) Somewhat approve,(2) Somewhat approve,(4) Somewhat disapprove,(4) Somewhat disapprove,(3) Sometimes,(3) Sometimes,(3) Sometimes,(2) Often,(6) Less often,(5) Several times a year,(5) Several times a year,(6) Less often,(5) Several times a year,(5) Several times a year,(5) Several times a year,(6) Less often,(5) Several times a year,(4) At least once a month,"(4) No, definitely will not","(2) Yes, probably will","(4) No, definitely will not","(2) Yes, probably will","(2) Yes, probably will","(2) Yes, probably will","(2) Yes, probably will","(4) No, definitely will not","(4) No, definitely will not","(2) Yes, probably will",(3) Somewhat likely,(5) Not at all likely,(3) Somewhat concerned,(3) About right,(1) Legal in all cases,(1) Federal government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(1) Yes, possible",(1) Legal in all cases,(1) Legal in all cases,(3) Illegal in most cases,(1) Too supportive,(2) Not supportive enough,(2) Minor role,(1) Yes,(11) Nothing in particular,,(1) Yes,,"(8) $30,000 to under $40,000",,,(3) No,(3) Independent,,,(3) Don't Lean,(3) Moderate,(3) Rural area,(1) Married,(3) 40 to 59,(3) Some college,"(1) White, non-Hispanic",(2) Female,"(7) $75,000 to under $100,000",(1) Employed,Alaska,(4) West
646,0.58367350,(2) Web interview,(1) English,(1) Right direction,(2) Somewhat approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,Approve,(1) Approve,(5) Lean toward poor,(3) Too little,(2) About the right amount,(1) Too much,(2) About the right amount,(2) About the right amount,(4) Not too worried,(4) Not too worried,(4) Somewhat disapprove,(4) Somewhat disapprove,(4) Somewhat disapprove,(4) Somewhat disapprove,(1) Always,(1) Always,(1) Always,(1) Always,(6) Less often,(4) At least once a month,(6) Less often,(6) Less often,(5) Several times a year,(4) At least once a month,(4) At least once a month,(6) Less often,(1) Every day,(3) At least once a week,"(4) No, definitely will not","(2) Yes, probably will","(4) No, definitely will not","(4) No, definitely will not","(2) Yes, probably will","(2) Yes, probably will","(3) No, probably will not","(4) No, definitely will not","(1) Yes, definitely will","(2) Yes, probably will",(2) Very likely,(3) Somewhat likely,(3) Somewhat concerned,(3) About right,(1) Legal in all cases,(2) Each state government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(1) Yes, possible",(1) Legal in all cases,(3) Illegal in most cases,(4) Illegal in all cases,(3) About right,(3) About right,(3) No role,(1) Yes,(11) Nothing in particular,,(1) Yes,,(2) $10 to under $15 an hour,(2) No,,(3) No,(1) Democrat,(2) Moderate Democrat,,,(3) Moderate,(2) Suburban area,(5) Never married,(3) 40 to 59,(2) High school graduate,(4) Other,(2) Female,"(6) $50,000 to under $75,000",(1) Employed,Nevada,(4) West
651,0.86437480,(2) Web interview,(1) English,(1) Right direction,(2) Somewhat approve,(2) Disapprove,(1) Approve,(1) Approve,(1) Approve,(2) Disapprove,Approve,(2) Disapprove,(2) Somewhat good,(2) About the right amount,(2) About the right amount,(2) About the right amount,(3) Too little,(3) Too little,(2) Very worried,(3) Somewhat worried,(4) Somewhat disapprove,(2) Somewhat approve,(4) Somewhat disapprove,(2) Somewhat approve,(1) Always,(1) Always,(1) Always,(1) Always,(2) At least several times a week,(2) At least several times a week,(3) At least once a week,(3) At least once a week,(5) Several times a year,(2) At least several times a week,(3) At least once a week,(5) Several times a year,(2) At least several times a week,(2) At least several times a week,"(2) Yes, probably will","(2) Yes, probably will","(3) No, probably will not","(3) No, probably will not","(4) No, definitely will not","(3) No, probably will not","(3) No, probably will not","(4) No, definitely will not","(3) No, probably will not","(3) No, probably will not",(2) Very likely,(3) Somewhat likely,(2) Very concerned,(1) Too quickly,(3) Illegal in most cases,(2) Each state government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(2) No, not possible",(3) Illegal in most cases,(3) Illegal in most cases,(3) Illegal in most cases,(1) Too supportive,(2) Not supportive enough,(1) Major role,(2) No,(7) Buddhist,,(1) Yes,,"(5) Under $10,000",(2) No,,(3) No,(2) Republican,,(2) Moderate Republican,,(3) Moderate,(2) Suburban area,(1) Married,(2) 30 to 39,(4) Bachelor's degree or higher,(4) Other,(2) Female,"(7) $75,000 to under $100,000",(1) Employed,New Jersey,(1) Northeast
653,0.91722172,(2) Web interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,Disapprove,(2) Disapprove,(7) Very poor,(1) Too much,(1) Too much,(1) Too much,(1) Too much,(1) Too much,(4) Not too worried,(4) Not too worried,(5) Strongly disapprove,(3) Neither approve nor disapprove,(5) Strongly disapprove,(5) Strongly disapprove,(4) Rarely,(3) Sometimes,(4) Rarely,(4) Rarely,(3) At least once a week,(3) At least once a week,(4) At least once a month,(6) Less often,(2) At least several times a week,(4) At least once a month,(5) Several times a year,(6) Less often,(6) Less often,(2) At least several times a week,"(1) Yes, definitely will","(1) Yes, definitely will","(3) No, probably will not","(4) No, definitely will not","(2) Yes, probably will","(2) Yes, probably will","(3) No, probably will not","(3) No, probably will not","(3) No, probably will not","(2) Yes, probably will",(5) Not at all likely,(5) Not at all likely,(4) Not very concerned,(2) Not quickly enough,(4) Illegal in all cases,(2) Each state government,"(2) No, not possible","(2) No, not possible","(2) No, not possible","(2) No, not possible",(4) Illegal in all cases,(4) Illegal in all cases,(4) Illegal in all cases,(2) Not supportive enough,(1) Too supportive,(2) Minor role,(2) No,"(1) Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",(1) Yes,(1) Yes,,(1) Less than $10 an hour,,,(3) No,(3) Independent,,,(2) Lean Republican,(3) Moderate,(2) Suburban area,(1) Married,(5) 65 or older,(2) High school graduate,"(1) White, non-Hispanic",(1) Male,"(8) $100,000 to under $150,000",(2) Not employed,Wisconsin,(2) Midwest
659,0.99965015,(2) Web interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,Disapprove,(1) Approve,(6) Somewhat poor,(3) Too little,(3) Too little,(3) Too little,(3) Too little,(3) Too little,(5) Not at all worried,(3) Somewhat worried,(3) Neither approve nor disapprove,(3) Neither approve nor disapprove,(3) Neither approve nor disapprove,(3) Neither approve nor disapprove,(5) Never,(5) Never,(5) Never,(4) Rarely,(6) Less often,(6) Less often,(6) Less often,(6) Less often,(6) Less often,(6) Less often,(5) Several times a year,(6) Less often,(6) Less often,(5) Several times a year,"(4) No, definitely will not","(1) Yes, definitely will","(4) No, definitely will not","(4) No, definitely will not","(4) No, definitely will not","(4) No, definitely will not","(3) No, probably will not","(4) No, definitely will not","(4) No, definitely will not","(2) Yes, probably will",(5) Not at all likely,(5) Not at all likely,(3) Somewhat concerned,(3) About right,(4) Illegal in all cases,(2) Each state government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(2) No, not possible",(4) Illegal in all cases,(4) Illegal in all cases,(4) Illegal in all cases,(2) Not supportive enough,(2) Not supportive enough,(1) Major role,(1) Yes,"(1) Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",(1) Yes,(2) No,(4) Definitely not get a vaccine,"(7) $20,000 to under $30,000",,,(3) No,(4) None of these,,,(3) Don't Lean,(4) Somewhat conservative,(3) Rural area,(1) Married,(3) 40 to 59,(2) High school graduate,"(1) White, non-Hispanic",(1) Male,"(8) $100,000 to under $150,000",(1) Employed,Pennsylvania,(1) Northeast
660,1.45529556,(2) Web interview,(1) English,(1) Right direction,(2) Somewhat approve,(1) Approve,(1) Approve,(1) Approve,(2) Disapprove,(1) Approve,Approve,(2) Disapprove,(2) Somewhat good,(3) Too little,(3) Too little,(3) Too little,(3) Too little,(3) Too little,(3) Somewhat worried,(4) Not too worried,(2) Somewhat approve,(2) Somewhat approve,(2) Somewhat approve,(4) Somewhat disapprove,(3) Sometimes,(2) Often,(2) Often,(1) Always,(4) At least once a month,(3) At least once a week,(5) Several times a year,(6) Less often,(5) Several times a year,(5) Several times a year,(5) Several times a year,(5) Several times a year,(6) Less often,(4) At least once a month,"(2) Yes, probably will","(1) Yes, definitely will","(4) No, definitely will not","(4) No, definitely will not","(2) Yes, probably will","(3) No, probably will not","(4) No, definitely will not","(4) No, definitely will not","(4) No, definitely will not","(1) Yes, definitely will",(2) Very likely,(3) Somewhat likely,(2) Very concerned,(2) Not quickly enough,(2) Legal in most cases,(1) Federal government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(1) Yes, possible",(1) Legal in all cases,(1) Legal in all cases,(3) Illegal in most cases,(1) Too supportive,(2) Not supportive enough,(2) Minor role,(2) No,(2) Roman Catholic (Catholic),(2) No,(1) Yes,,"(10) $50,000 to under $75,000",,,(3) No,(3) Independent,,,(1) Lean Democrat,(2) Somewhat liberal,(2) Suburban area,(1) Married,(1) 18 to 29,(4) Bachelor's degree or higher,"(1) White, non-Hispanic",(1) Male,"(2) $10,000 to under $20,000",(1) Employed,North Carolina,(3) South
661,0.63060554,(2) Web interview,(1) English,(1) Right direction,(1) Strongly approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,Approve,(1) Approve,(2) Somewhat good,(3) Too little,(3) Too little,(3) Too little,(3) Too little,(3) Too little,(3) Somewhat worried,(2) Very worried,(4) Somewhat disapprove,(4) Somewhat disapprove,(2) Somewhat approve,(4) Somewhat disapprove,(3) Sometimes,(2) Often,(2) Often,(1) Always,(6) Less often,(2) At least several times a week,(5) Several times a year,(2) At least several times a week,(5) Several times a year,(5) Several times a year,(5) Several times a year,(5) Several times a year,(5) Several times a year,(2) At least several times a week,"(3) No, probably will not","(1) Yes, definitely will","(3) No, probably will not","(2) Yes, probably will","(2) Yes, probably will","(2) Yes, probably will","(2) Yes, probably will","(3) No, probably will not","(2) Yes, probably will","(1) Yes, definitely will",(1) Extremely likely,(2) Very likely,(1) Extremely concerned,(1) Too quickly,(1) Legal in all cases,(1) Federal government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(1) Yes, possible",(1) Legal in all cases,(2) Legal in most cases,(3) Illegal in most cases,(1) Too supportive,(2) Not supportive enough,(2) Minor role,(1) Yes,(14) Something else - please specify:,(2) No,(1) Yes,,(2) $10 to under $15 an hour,(1) Yes,(2) Not interested in the type of work,(3) No,(1) Democrat,(2) Moderate Democrat,,,(2) Somewhat liberal,(2) Suburban area,(4) Separated,(3) 40 to 59,(3) Some college,"(1) White, non-Hispanic",(2) Female,"(3) $20,000 to under $30,000",(1) Employed,Montana,(4) West
662,0.69092606,(2) Web interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,Disapprove,(2) Disapprove,(6) Somewhat poor,(2) About the right amount,(2) About the right amount,(1) Too much,(3) Too little,(2) About the right amount,(5) Not at all worried,(5) Not at all worried,(4) Somewhat disapprove,(5) Strongly disapprove,(5) Strongly disapprove,(5) Strongly disapprove,(5) Never,(5) Never,(5) Never,(5) Never,(6) Less often,(2) At least several times a week,(6) Less often,(4) At least once a month,(3) At least once a week,(6) Less often,(4) At least once a month,(6) Less often,(6) Less often,(2) At least several times a week,"(4) No, definitely will not","(1) Yes, definitely will","(4) No, definitely will not","(2) Yes, probably will","(3) No, probably will not","(4) No, definitely will not","(3) No, probably will not","(3) No, probably will not","(4) No, definitely will not","(1) Yes, definitely will",(5) Not at all likely,(5) Not at all likely,(5) Not at all concerned,(2) Not quickly enough,(3) Illegal in most cases,(1) Federal government,"(2) No, not possible","(1) Yes, possible","(1) Yes, possible","(2) No, not possible",(2) Legal in most cases,(3) Illegal in most cases,(4) Illegal in all cases,(2) Not supportive enough,(1) Too supportive,(2) Minor role,(2) No,(14) Something else - please specify:,(2) No,(2) No,(4) Definitely not get a vaccine,(1) Less than $10 an hour,,,(3) No,(2) Republican,,(1) Strong Republican,,(5) Very conservative,(1) Urban area,(5) Never married,(3) 40 to 59,(3) Some college,"(1) White, non-Hispanic",(1) Male,"(1) Under $10,000",(2) Not employed,Indiana,(2) Midwest
664,0.54380211,(2) Web interview,(1) English,(1) Right direction,(2) Somewhat approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,Approve,(1) Approve,(3) Lean toward good,(2) About the right amount,(3) Too little,(2) About the right amount,(2) About the right amount,(2) About the right amount,(3) Somewhat worried,(4) Not too worried,(2) Somewhat approve,(2) Somewhat approve,(1) Strongly approve,(1) Strongly approve,(1) Always,(1) Always,(1) Always,(2) Often,(4) At least once a month,(2) At least several times a week,(5) Several times a year,(6) Less often,(5) Several times a year,(5) Several times a year,(5) Several times a year,(6) Less often,(6) Less often,(2) At least several times a week,"(3) No, probably will not","(2) Yes, probably will","(2) Yes, probably will","(4) No, definitely will not","(3) No, probably will not","(4) No, definitely will not","(4) No, definitely will not","(4) No, definitely will not","(4) No, definitely will not","(3) No, probably will not",(2) Very likely,(3) Somewhat likely,(2) Very concerned,(3) About right,(2) Legal in most cases,(1) Federal government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(1) Yes, possible",(1) Legal in all cases,(2) Legal in most cases,(3) Illegal in most cases,(1) Too supportive,(2) Not supportive enough,(1) Major role,(1) Yes,(6) Muslim (Islam),,(1) Yes,,"(6) $10,000 to under $20,000",,,(3) No,(1) Democrat,(2) Moderate Democrat,,,(3) Moderate,(2) Suburban area,(1) Married,(3) 40 to 59,(4) Bachelor's degree or higher,(4) Other,(2) Female,"(7) $75,000 to under $100,000",(2) Not employed,Pennsylvania,(1) Northeast
665,0.91226283,(2) Web interview,(1) English,(1) Right direction,(2) Somewhat approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,Approve,(1) Approve,(2) Somewhat good,(2) About the right amount,(2) About the right amount,(3) Too little,(3) Too little,(3) Too little,(3) Somewhat worried,(4) Not too worried,(3) Neither approve nor disapprove,(2) Somewhat approve,(4) Somewhat disapprove,(4) Somewhat disapprove,(2) Often,(3) Sometimes,(3) Sometimes,(2) Often,(6) Less often,(5) Several times a year,(4) At least once a month,(6) Less often,(5) Several times a year,(3) At least once a week,(4) At least once a month,(5) Several times a year,(6) Less often,(5) Several times a year,"(4) No, definitely will not","(1) Yes, definitely will","(1) Yes, definitely will","(4) No, definitely will not","(1) Yes, definitely will","(2) Yes, probably will","(4) No, definitely will not","(4) No, definitely will not","(4) No, definitely will not","(3) No, probably will not",(2) Very likely,(5) Not at all likely,(3) Somewhat concerned,(3) About right,(2) Legal in most cases,(2) Each state government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(1) Yes, possible",(2) Legal in most cases,(2) Legal in most cases,(2) Legal in most cases,(1) Too supportive,(2) Not supportive enough,(2) Minor role,(2) No,(9) Atheist (do not believe in God),,(1) Yes,,"(7) $20,000 to under $30,000",,,(3) No,(1) Democrat,(2) Moderate Democrat,,,(2) Somewhat liberal,(3) Rural area,(1) Married,(2) 30 to 39,(4) Bachelor's degree or higher,(4) Other,(1) Male,"(8) $100,000 to under $150,000",(1) Employed,Virginia,(3) South
672,0.22959373,(2) Web interview,(1) English,(1) Right direction,(1) Strongly approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,(1) Approve,Approve,(1) Approve,(2) Somewhat good,(3) Too little,(3) Too little,(2) About the right amount,(2) About the right amount,(2) About the right amount,(5) Not at all worried,(5) Not at all worried,(5) Strongly disapprove,(4) Somewhat disapprove,(1) Strongly approve,(4) Somewhat disapprove,(2) Often,(2) Often,(3) Sometimes,(3) Sometimes,(3) At least once a week,(3) At least once a week,(6) Less often,(6) Less often,(6) Less often,(3) At least once a week,(6) Less often,(5) Several times a year,(6) Less often,(2) At least several times a week,"(1) Yes, definitely will","(1) Yes, definitely will","(3) No, probably will not","(4) No, definitely will not","(3) No, probably will not","(1) Yes, definitely will","(3) No, probably will not","(2) Yes, probably will","(3) No, probably will not","(2) Yes, probably will",(3) Somewhat likely,(4) Not very likely,(3) Somewhat concerned,(1) Too quickly,(2) Legal in most cases,(1) Federal government,"(2) No, not possible","(1) Yes, possible","(1) Yes, possible","(1) Yes, possible",(2) Legal in most cases,(3) Illegal in most cases,(3) Illegal in most cases,(3) About right,(3) About right,(1) Major role,(2) No,"(1) Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",(1) Yes,(1) Yes,,(2) $10 to under $15 an hour,(1) Yes,(4) Some other reason,(3) No,(3) Independent,,,(1) Lean Democrat,(3) Moderate,(2) Suburban area,(1) Married,(5) 65 or older,(4) Bachelor's degree or higher,"(1) White, non-Hispanic",(1) Male,"(5) $40,000 to under $50,000",(2) Not employed,Kansas,(2) Midwest
675,0.37017630,(2) Web interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,Disapprove,(2) Disapprove,(5) Lean toward poor,(1) Too much,(1) Too much,(1) Too much,(1) Too much,(1) Too much,(4) Not too worried,(4) Not too worried,(2) Somewhat approve,(3) Neither approve nor disapprove,(4) Somewhat disapprove,(4) Somewhat disapprove,(4) Rarely,(3) Sometimes,(4) Rarely,(5) Never,(4) At least once a month,(4) At least once a month,(4) At least once a month,(6) Less often,(4) At least once a month,(2) At least several times a week,(5) Several times a year,(6) Less often,(6) Less often,(2) At least several times a week,"(2) Yes, probably will","(1) Yes, definitely will","(1) Yes, definitely will","(4) No, definitely will not","(1) Yes, definitely will","(1) Yes, definitely will","(2) Yes, probably will","(3) No, probably will not","(4) No, definitely will not","(1) Yes, definitely will",(5) Not at all likely,(5) Not at all likely,(5) Not at all concerned,(3) About right,(3) Illegal in most cases,(2) Each state government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(2) No, not possible",(3) Illegal in most cases,(4) Illegal in all cases,(4) Illegal in all cases,(2) Not supportive enough,(1) Too supportive,(1) Major role,(2) No,"(1) Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",(1) Yes,(1) Yes,,"(10) $50,000 to under $75,000",,,(3) No,(3) Independent,,,(2) Lean Republican,(4) Somewhat conservative,(3) Rural area,(1) Married,(3) 40 to 59,(4) Bachelor's degree or higher,(4) Other,(1) Male,"(9) $150,000 or more",(1) Employed,South Carolina,(3) South
677,0.58508371,(2) Web interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(2) Disapprove,(1) Approve,(2) Disapprove,(2) Disapprove,(2) Disapprove,Disapprove,(2) Disapprove,(5) Lean toward poor,(2) About the right amount,(2) About the right amount,(2) About the right amount,(2) About the right amount,(2) About the right amount,(4) Not too worried,(4) Not too worried,(4) Somewhat disapprove,(4) Somewhat disapprove,(4) Somewhat disapprove,(4) Somewhat disapprove,(4) Rarely,(4) Rarely,(4) Rarely,(3) Sometimes,(6) Less often,(5) Several times a year,(4) At least once a month,(4) At least once a month,(4) At least once a month,(3) At least once a week,(6) Less often,(4) At least once a month,(6) Less often,(3) At least once a week,"(4) No, definitely will not","(1) Yes, definitely will","(1) Yes, definitely will","(1) Yes, definitely will","(1) Yes, definitely will","(1) Yes, definitely will","(3) No, probably will not","(3) No, probably will not","(4) No, definitely will not","(2) Yes, probably will",(4) Not very likely,(5) Not at all likely,(4) Not very concerned,(2) Not quickly enough,(2) Legal in most cases,(2) Each state government,"(1) Yes, possible","(1) Yes, possible","(1) Yes, possible","(2) No, not possible",(2) Legal in most cases,(3) Illegal in most cases,(3) Illegal in most cases,(3) About right,(3) About right,(1) Major role,(2) No,(11) Nothing in particular,,(1) Yes,,"(9) $40,000 to under $50,000",,,(3) No,(3) Independent,,,(2) Lean Republican,(3) Moderate,(2) Suburban area,(1) Married,(3) 40 to 59,(4) Bachelor's degree or higher,"(1) White, non-Hispanic",(1) Male,"(9) $150,000 or more",(1) Employed,Virginia,(3) South
679,0.18143542,(2) Web interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,(2) Disapprove,Disapprove,(2) Disapprove,(6) Somewhat poor,(1) Too much,(1) Too much,(1) Too much,(1) Too much,(1) Too much,(5) Not at all worried,(5) Not at all worried,(5) Strongly disapprove,(4) Somewhat disapprove,(5) Strongly disapprove,(5) Strongly disapprove,(5) Never,(5) Never,(5) Never,(5) Never,(5) Several times a year,(2) At least several times a week,(4) At least once a month,(6) Less often,(4) At least once a month,(2) At least several times a week,(4) At least once a month,(4) At least once a month,(6) Less often,(2) At least several times a week,"(2) Yes, probably will","(1) Yes, definitely will","(2) Yes, probably will","(4) No, definitely will not","(2) Yes, probably will","(2) Yes, probably will","(2) Yes, probably will","(2) Yes, probably will","(4) No, definitely will not","(2) Yes, probably will",(5) Not at all likely,(5) Not at all likely,(5) Not at all concerned,(2) Not quickly enough,(4) Illegal in all cases,(2) Each state government,"(2) No, not possible","(2) No, not possible","(1) Yes, possible","(2) No, not possible",(4) Illegal in all cases,(4) Illegal in all cases,(4) Illegal in all cases,(2) Not supportive enough,(1) Too supportive,(3) No role,(2) No,"(1) Protestant (Baptist, Methodist, Non-denominational, Lutheran, Presbyterian, Pentecostal, Episcopalian, Reformed, Church",(2) No,(1) Yes,,"(8) $30,000 to under $40,000",,,(1) I am,(1) Democrat,(1) Strong Democrat,,,(3) Moderate,(3) Rural area,(1) Married,(4) 60 to 64,(3) Some college,"(1) White, non-Hispanic",(1) Male,"(6) $50,000 to under $75,000",(2) Not employed,Ohio,(2) Midwest
